0.03	2	3	-0.34	2	4	-0.01	0	0	-0.05	1	1	-0.06	1	0	0.08	0	1	-0.66	0	2	-0.22	0	3	-0.45	1	2	-0.25	0	1	-0.19	2	0	0.03	1	1	0.17	2	1	-0.37	0	1
-0.29	0	0	-0.14	1	1	0.08	2	1	0.18	2	1	-0.04	1	0	-0.31	1	1	0.21	0	2	-0.39	1	0	0.06	0	0	-0.03	1	0	-0.06	2	1	0.11	1	2	0.11	2	1	-0.06	2	1
-0.17	2	2	-0.26	0	1	-0.39	2	2	-0.03	1	1	0	0	2	-0.04	3	1	-0.04	1	2	-0.12	4	3	-0.45	0	2	-0.02	0	1	-0.31	1	1	-0.27	0	1	-0.4	0	1	-0.4	2	1
-0.07	1	1	-0.42	4	4	0.16	3	0	-0.2	2	1	0.11	1	1	0.13	2	2	0.26	0	2	-0.47	2	2	0.09	1	2	0.01	1	3	-0.09	1	0	0	2	1	0.07	1	2	-0.16	0	0
-0.03	2	0	0.21	1	0	0.32	2	1	0.17	2	1	0.31	2	1	0.19	3	2	0.34	1	1	0.12	1	1	0.18	1	1	0.06	0	0	-0.29	2	5	-0.02	3	1	-0.02	1	0	-0.16	1	1
0.56	1	0	0.66	2	0	0.39	2	0	0.72	1	2	0.58	0	0	0.29	0	1	-0.11	0	1	-0.12	3	1	0.02	0	2	-0.4	3	1	-0.2	5	2	0.36	3	0	0.58	3	1	0.64	0	2
-0.35	1	0	0.11	3	0	0.12	0	1	-0.06	2	0	0.02	0	1	0.13	5	0	0.48	4	0	0.3	1	1	0.06	3	2	0.48	1	1	0.11	1	2	-0.57	0	2	-0.48	0	0	-0.3	1	2
0.22	0	0	0.29	2	0	0.38	2	4	-0.11	4	0	0.25	0	1	0.2	0	0	-0.05	0	3	0.03	2	3	-0.26	0	1	0.02	1	1	0.11	3	1	-0.02	0	3	0.08	0	1	0.15	1	2
0.01	2	1	0	1	0	0	2	2	-0.09	2	3	-0.48	1	1	-0.03	0	2	-0.57	3	2	-0.24	1	2	-0.26	3	3	-0.15	1	2	-0.27	3	0	0.02	1	0	-0.12	3	0	0.16	4	2
0.24	1	1	0.11	1	1	0.14	1	0	-0.09	1	1	-0.33	1	0	0.04	1	2	-0.5	0	2	-0.38	1	2	-0.21	1	2	-0.39	0	1	-0.08	2	3	0.43	2	0	0.1	2	0	0.1	1	0
0.51	2	1	0.5	1	1	0.37	3	0	0.45	0	1	0.32	1	1	0.41	1	1	-0.36	2	1	-0.39	0	1	-0.4	0	2	-0.72	1	0	-0.28	2	2	0.22	2	1	0.32	2	0	0.33	1	1
0.12	1	1	0.2	1	1	-0.12	0	0	0.21	2	1	0.25	2	3	0.17	1	0	-0.2	0	3	-0.37	0	1	0.09	1	2	0.05	1	0	0.06	2	1	0.12	2	3	-0.16	1	0	0.49	1	1
0.26	2	2	-0.13	2	3	0.24	2	1	0.12	1	1	0.23	1	1	-0.06	1	1	-0.2	1	1	-0.14	1	1	-0.06	1	1	0.1	2	1	0.05	1	0	0.45	2	0	0.38	1	0	0.2	1	2
0.42	1	0	0.41	3	0	0.37	1	1	-0.19	3	2	0.26	2	0	0.27	1	2	0.08	4	4	-0.16	2	2	0.03	1	1	-0.23	2	1	-0.58	3	0	0.61	1	0	0.55	3	1	0.44	1	0
0.22	1	1	0.36	1	0	0.17	1	1	0.25	0	0	0.03	1	3	0.2	1	1	-0.11	1	1	-0.37	1	1	-0.08	0	0	-0.25	2	4	-0.56	1	3	0.22	1	0	0.19	3	1	0.32	2	0
0.56	2	0	0.57	2	0	0.47	3	4	0.37	5	1	0.12	4	2	0.48	1	1	-0.14	0	1	0	0	0	0.05	0	4	-0.25	3	2	-0.17	6	1	0.52	4	2	0.72	3	1	0.77	3	0
-0.22	1	1	0.14	2	0	0.22	1	0	0.12	3	3	0.15	0	1	0.28	2	2	0.13	1	0	0.39	0	3	0.2	4	2	0.11	1	5	-0.2	3	5	-0.38	1	6	-0.35	1	1	-0.53	1	2
0.07	0	1	0.17	1	2	0.39	2	1	0.26	0	0	0.25	0	0	0.2	0	1	-0.24	0	3	-0.12	1	2	-0.25	1	1	0.06	2	0	0.04	1	1	0.09	1	1	0.37	2	3	0.24	3	2
0.05	1	2	-0.43	1	0	0.11	3	0	0.12	0	1	-0.06	2	0	0.02	1	1	0.01	1	0	-0.2	0	3	-0.37	0	1	0.09	1	2	0.05	4	1	-0.17	0	1	-0.17	0	0	0	4	0
0.32	0	2	0.33	1	0	0.66	2	0	0.39	2	0	0.72	1	2	0.58	0	2	0.04	1	1	-0.11	1	1	-0.37	1	1	-0.08	0	0	-0.25	5	0	0.38	4	1	0.79	3	0	0.79	2	0
-0.12	1	2	0.03	0	0	0.29	2	0	0.38	2	4	-0.11	4	0	0.25	1	2	0.29	1	1	0.21	0	2	-0.39	1	0	0.06	0	0	-0.03	1	1	0.04	2	1	0.09	2	1	0.09	1	2
-0.03	1	2	-0.44	1	1	0.14	2	0	0.22	1	0	0.12	3	3	0.15	2	2	0.17	0	2	-0.21	0	1	-0.17	3	1	-0.13	1	0	-0.32	2	2	0.37	2	1	0.66	2	1	0.51	3	2
0.01	1	2	0.1	2	2	-0.13	2	3	0.24	2	1	0.12	1	1	0.23	2	1	-0.03	0	0	-0.05	0	3	0.03	2	3	-0.26	0	1	0.02	1	3	0.17	3	1	0.11	0	1	0.21	1	1
-0.02	4	2	0.01	2	1	0	1	0	0	2	2	-0.09	2	3	-0.48	2	0	-0.56	0	1	-0.11	0	1	-0.12	3	1	0.02	0	2	-0.4	2	2	0.09	1	0	0.09	2	4	0	2	2
0.05	2	2	-0.17	0	5	-0.48	3	0	-0.03	1	3	-0.02	2	0	0.04	1	1	-0.42	1	1	-0.36	2	1	-0.39	0	1	-0.4	0	2	-0.72	3	2	0.73	1	1	0.05	2	1	0.28	2	0
0.6	3	0	0.56	2	0	0.57	2	0	0.47	3	4	0.37	5	1	0.12	0	1	-0.22	0	0	-0.29	4	2	0.01	0	0	-0.21	0	2	-0.04	3	1	0.67	2	1	0.85	2	1	0.85	3	1
0.15	0	0	0.07	1	1	-0.42	4	4	0.16	3	0	-0.2	2	1	0.11	2	3	-0.24	0	1	-0.24	0	3	-0.12	1	2	-0.25	1	1	0.06	3	1	0.09	1	1	0.28	2	1	-0.04	3	0
0.26	1	1	-0.03	2	0	0.21	1	0	0.32	2	1	0.17	2	1	0.31	0	1	-0.42	1	2	0.08	4	4	-0.16	2	2	0.03	1	1	-0.23	0	0	0.52	3	1	0.45	1	1	0.26	5	0
0.45	1	0	0.42	1	0	0.41	3	0	0.37	1	1	-0.19	3	2	0.26	2	1	-0.26	1	1	-0.2	1	1	-0.14	1	1	-0.06	1	1	0.1	2	0	0.63	2	0	0.54	2	0	0.47	2	0
0.11	1	0	0.24	1	1	0.11	1	1	0.14	1	0	-0.09	1	1	-0.33	0	3	-0.56	1	1	-0.14	0	1	0	0	0	0.05	0	4	-0.25	2	3	0.11	0	1	0	1	1	0.08	2	2
0.28	1	1	0.51	2	1	0.5	1	1	0.37	3	0	0.45	0	1	0.32	0	0	-0.07	2	2	0.26	0	2	-0.47	2	2	0.09	1	2	0.01	0	1	0.07	1	3	0.12	0	2	0.36	3	0
-0.04	0	1	0.03	2	3	-0.34	2	4	-0.01	0	0	-0.05	1	1	-0.06	2	4	-0.01	0	2	-0.57	3	2	-0.24	1	2	-0.26	3	3	-0.15	3	0	0.18	0	2	0.11	1	2	0.11	2	1
-0.31	1	1	0.12	1	1	0.2	1	1	-0.12	0	0	0.21	2	1	0.25	2	1	0.35	5	0	0.48	4	0	0.3	1	1	0.06	3	2	0.48	0	3	-0.56	0	3	-0.56	0	3	-0.56	0	2
0.38	3	2	0.24	0	1	0.17	1	2	0.39	2	1	0.26	0	0	0.25	0	1	-0.24	1	2	-0.5	0	2	-0.38	1	2	-0.21	1	2	-0.39	2	0	0.18	1	0	0.58	1	0	0.58	0	0
